ID,Name,Explain,Type,PP,BasePower,Accuracy,Contact,BETarget,BEStatStageId,BEStatStageValue,BEStatus,SETarget,SERate,SEStatStageId,SEStatStageValue,SEStatus
1,BUBBLE,A spray of bubbles\nhits the foe. It\nmay lower the\nfoe¡¯s SPEED stat.,Water,30,20,100,No,None,,,,Enemy,10,Speed,-1,Normal
2,EMBER,The foe is attacked with small flames. The foe may suffer a burn.,Fire,25,40,100,No,None,,,,Enemy,10,,,Burn
3,GROWL,"The user growls in\na cute way, making\nthe foe lower its\nATTACK stat.",Normal,40,0,100,No,Enemy,Atk,-1,,None,,,,
4,GUST,Strikes the foe with a gust of wind whipped up by wings.,Flying,35,40,100,No,None,,,,None,,,,
5,LEECH SEED,A seed is planted on the foe to steal some HP for the user on every turn.,Grass,10,0,90,No,Enemy,,,Seeded,None,,,,
6,QUICK ATTACK,An almost invisibly fast attack that is certain to strike first.,Normal,30,40,100,Yes,None,,,,None,,,,
7,SAND ATTACK,"A lot of sand is hurled in the foe¡¯s face, reducing its accuracy.",Ground,15,0,100,No,Enemy,Accuracy,-1,,None,,,,
8,SCRATCH,"Hard, pointed, and\nsharp claws rake\nthe foe.",Normal,35,40,100,Yes,None,,,,None,,,,
9,TACKLE,"A physical attack\nin which the user\ncharges, full body,\ninto the foe.",Normal,35,35,95,Yes,None,,,,None,,,,
10,TAIL WHIP,"The user wags its\ntail cutely, making\nthe foe lower its\nDEFENSE stat.",Normal,30,0,100,No,Enemy,Def,-1,,None,,,,
11,STRING SHOT,The foe is bound\nwith strings shot\nfrom the mouth to\nreduce its SPEED.,Bug,40,0,95,No,Enemy,Speed,-1,,None,,,,
12,POISON STRING,"The foe is stabbed\nwith a toxic\nbarb, etc. It\nmay poison the foe.",Poison,35,15,100,No,None,,,,Enemy,30,,,Poison
13,PECK,The foe is jabbed\nwith a sharply\npointed beak or horn.,Flying,35,35,100,Yes,None,,,,None,,,,
14,LEER,The foe is given\nan intimidating look\nthat lowers its\nDEFENSE stat.,Normal,30,0,100,No,Enemy,Def,-1,,None,,,,
15,LOW KICK,"A low, tripping kick\nthat inflicts more\ndamage on heavier\nfoes.",Fighting,20,0,100,Yes,None,,,,None,,,,
16,Defense Curl,The user curls up to conceal weak spots and raise its DEFENSE stat.,Normal,40,0,0,No,Self,Def,1,,None,,,,
17,Bind,A long body or tentacles are used to bind the foe for two to five turns.,Normal,20,15,75,Yes,Enemy,,,Bound,None,,,,
18,Rock Throw,"The foe is attacked with a shower of small, easily thrown rocks.",Rock,15,50,90,No,None,,,,None,,,,
19,Harden,The user stiffens all the muscles in its body to raise its DEFENSE stat.,Normal,30,0,0,No,Self,Def,1,,None,,,,
